sample_name,name,value,index,host_genus_meta,host_species_meta,published,sample_name_index
ADc_021,C3/C3gulf-C115d,433.0,1000.pdf,NA,NA,y,ADc_021-1000.pdf
ADc_028,C3/C3gulf-C115d,1127.0,1000.pdf,NA,NA,y,ADc_028-1000.pdf
ADc_012,C3/C3gulf-C115d,516.0,1000.pdf,NA,NA,y,ADc_012-1000.pdf
ADa_053,C3/C3gulf-C115d,583.0,1000.pdf,NA,NA,y,ADa_053-1000.pdf
ADc_020,C3/C3gulf-C115d,668.0,1000.pdf,NA,NA,y,ADc_020-1000.pdf
OMa_004,D1-D4-D4c-D1c-D4f,1950.0,1000.pdf,NA,NA,y,OMa_004-1000.pdf
OMd_006,D1-D4-D4c-D1c-D4f,937.0,1000.pdf,NA,NA,y,OMd_006-1000.pdf
OMa_050,D1-D4-D4c-D1c-D4f,481.0,1000.pdf,NA,NA,y,OMa_050-1000.pdf
OMa_065,D1-D4-D4c-D1c-D4f,846.0,1000.pdf,NA,NA,y,OMa_065-1000.pdf
ADd_001,D1-D4-D4c-D1c-D4f,665.0,1000.pdf,NA,NA,y,ADd_001-1000.pdf
OMb_046,D1-D4-D4c-D1c-D4f,1253.0,1000.pdf,NA,NA,y,OMb_046-1000.pdf
ADe_020,D1-D4-D4c-D1c-D4f,868.0,1000.pdf,NA,NA,y,ADe_020-1000.pdf
OMc_024,D1-D4-D4c-D1c-D4f,737.0,1000.pdf,NA,NA,y,OMc_024-1000.pdf
ADd_037,D1-D4-D4c-D1c-D4f,893.0,1000.pdf,NA,NA,y,ADd_037-1000.pdf
OMa_013,D1-D4-D4c-D1c-D4f,573.0,1000.pdf,NA,NA,y,OMa_013-1000.pdf
OMd_067,D1-D4-D4c-D1c-D4f,994.0,1000.pdf,NA,NA,y,OMd_067-1000.pdf
OMd_066,D1-D4-D4c-D1c-D4f,1106.0,1000.pdf,NA,NA,y,OMd_066-1000.pdf
AGb_110,D1-D4-D4c-D1c-D4f,40418.0,1000.pdf,NA,NA,y,AGb_110-1000.pdf
OMc_030,D1-D4-D4c-D1c-D4f,814.0,1000.pdf,NA,NA,y,OMc_030-1000.pdf
KAc_042,D1-D4-D4c-D1c-D4f,5706.0,1000.pdf,NA,NA,y,KAc_042-1000.pdf
KAa_030,D1-D4-D4c-D1c-D4f,5756.0,1000.pdf,NA,NA,y,KAa_030-1000.pdf
OMa_039,C1dp/C1-C1do-C3hk-C1dm-C1dn,805.0,1000.pdf,NA,NA,y,OMa_039-1000.pdf
OMa_079,C1dp/C1-C1do-C3hk-C1dm-C1dn,499.0,1000.pdf,NA,NA,y,OMa_079-1000.pdf
OMa_019,C1dp/C1-C1do-C3hk-C1dm-C1dn,595.0,1000.pdf,NA,NA,y,OMa_019-1000.pdf
OMa_069,C1dp/C1-C1do-C3hk-C1dm-C1dn,403.0,1000.pdf,NA,NA,y,OMa_069-1000.pdf
OMc_008,C1dp/C1-C1do-C3hk-C1dm-C1dn,854.0,1000.pdf,NA,NA,y,OMc_008-1000.pdf
OMc_004,C1dp/C1-C1do-C3hk-C1dm-C1dn,668.0,1000.pdf,NA,NA,y,OMc_004-1000.pdf
OMc_009,C1dp/C1-C1do-C3hk-C1dm-C1dn,790.0,1000.pdf,NA,NA,y,OMc_009-1000.pdf
OMc_001,C1dp/C1-C1do-C3hk-C1dm-C1dn,2862.0,1000.pdf,NA,NA,y,OMc_001-1000.pdf
OMd_057,C1dp/C1-C1do-C3hk-C1dm-C1dn,812.0,1000.pdf,NA,NA,y,OMd_057-1000.pdf
OMa_032,C1dp/C1-C1do-C3hk-C1dm-C1dn,1266.0,1000.pdf,NA,NA,y,OMa_032-1000.pdf
OMa_042,C1dp/C1-C1do-C3hk-C1dm-C1dn,691.0,1000.pdf,NA,NA,y,OMa_042-1000.pdf
OMa_022,C1dp/C1-C1do-C3hk-C1dm-C1dn,1752.0,1000.pdf,NA,NA,y,OMa_022-1000.pdf
OMc_003,C1dp/C1-C1do-C3hk-C1dm-C1dn,896.0,1000.pdf,NA,NA,y,OMc_003-1000.pdf
OMd_099,C1dp/C1-C1do-C3hk-C1dm-C1dn,875.0,1000.pdf,NA,NA,y,OMd_099-1000.pdf
OMa_045,C1dp/C1-C1do-C3hk-C1dm-C1dn,484.0,1000.pdf,NA,NA,y,OMa_045-1000.pdf
OMa_045,D5/D4,166.0,1000.pdf,NA,NA,y,OMa_045-1000.pdf
OMa_068,C1dp/C1-C1do-C3hk-C1dm-C1dn,222.0,1000.pdf,NA,NA,y,OMa_068-1000.pdf
OMa_068,D5-D4-D4a-D5d-D2,187.0,1000.pdf,NA,NA,y,OMa_068-1000.pdf
ADe_014,C1/C41/C39-C1b-C42bb-C3hl,841.0,1000.pdf,NA,NA,y,ADe_014-1000.pdf
OMa_051,C1/C41/C39-C1b-C42bb-C3hl,586.0,1000.pdf,NA,NA,y,OMa_051-1000.pdf
ADe_010,C1/C41/C39-C1b-C42bb-C3hl,529.0,1000.pdf,NA,NA,y,ADe_010-1000.pdf
ADe_006,C1/C41/C39-C1b-C42bb-C3hl,801.0,1000.pdf,NA,NA,y,ADe_006-1000.pdf
ADe_039,C1/C41/C39-C1b-C42bb-C3hl,1091.0,1000.pdf,NA,NA,y,ADe_039-1000.pdf
ADe_033,C1/C41/C39-C1b-C42bb-C3hl,755.0,1000.pdf,NA,NA,y,ADe_033-1000.pdf
ADd_020,C1/C41/C39-C1b-C42bb-C3hl,1024.0,1000.pdf,NA,NA,y,ADd_020-1000.pdf
